"Year"	"Stand"	"Treatment"	"Plot"	"PlotID"	"Litterfall_LAI"	"SE"	"SE%"
2003.00	"Mature Monoculture"	"NoThin"	"Chapman"	109.00	3.27	0.42	13.03
2003.00	"Nutting Preserve"	"NoThin"	"Nutting"	33.00	3.46	0.15	4.34
2003.00	"Spacing"	"PCT"	"2x2"	6.00	4.84	0.89	18.48
2003.00	"Spacing"	"PCT"	"2x2 New"	7.00	5.13	0.41	8.07
2003.00	"Spacing"	"PCT"	"3x3"	8.00	6.53	0.35	5.50
2003.00	"Thinning"	"B"	"A8"	100.00	2.89	0.44	15.53
2003.00	"Thinning"	"B"	"C2"	103.00	3.00	0.27	9.30
2003.00	"Thinning"	"LD"	"C1"	102.00	2.99	0.39	13.06
2003.00	"Thinning"	"LD"	"C7"	108.00	1.83	0.09	5.30
2003.00	"Thinning"	"NoThin"	"B2"	85.00	4.46	0.14	3.36
2003.00	"Thinning"	"NoThin"	"B3"	86.00	4.15	0.32	7.93
2003.00	"Thinning"	"NoThin"	"B4"	87.00	4.32	0.17	4.00
2003.00	"Thinning"	"NoThin"	"B7"	90.00	3.55	0.14	4.00
2003.00	"Thinning"	"NoThin"	"B8"	91.00	4.05	0.14	3.68
2003.00	"Thinning"	"NoThin"	"B9"	92.00	3.61	0.13	3.77
2003.00	"Thinning"	"NoThin"	"HD1"	3.00	3.99	0.05	1.27
2003.00	"Thinning"	"NoThin"	"HD2"	4.00	3.81	0.01	0.40
2003.00	"Thinning"	"NoThin"	"HD3"	5.00	4.09	0.16	4.06
2004.00	"1970"	"NoThin"	"1970"	23.00	3.12	0.23	7.52
2004.00	"1990"	"NoThin"	"2-18AAA"	18.00	3.13		
2004.00	"1990"	"NoThin"	"3-12B"	19.00	4.94		
2004.00	"1990"	"NoThin"	"4-7F"	20.00	5.51		
2004.00	"1990"	"NoThin"	"Orig 1"	17.00	2.97		
2004.00	"Mature Monoculture"	"NoThin"	"Chapman"	109.00	2.62	0.52	20.05
2004.00	"Nutting Preserve"	"NoThin"	"Nutting"	33.00	3.61	0.18	5.07
2004.00	"Spacing"	"PCT"	"2x2"	6.00	4.01	0.33	8.39
2004.00	"Spacing"	"PCT"	"2x2 New"	7.00	3.77	0.20	5.38
2004.00	"Spacing"	"PCT"	"3x3"	8.00	4.62	0.32	7.03
2004.00	"Thinning"	"B"	"A8"	100.00	2.94	0.22	7.66
2004.00	"Thinning"	"B"	"C2"	103.00	2.81	0.23	8.19
2004.00	"Thinning"	"LD"	"C1"	102.00	2.76	0.36	13.17
2004.00	"Thinning"	"LD"	"C7"	108.00	1.91	0.21	11.04
2004.00	"Thinning"	"NoThin"	"B2"	85.00	3.63	0.09	2.64
2004.00	"Thinning"	"NoThin"	"B3"	86.00	3.00	0.25	8.62
2004.00	"Thinning"	"NoThin"	"B4"	87.00	3.84	0.10	2.85
2004.00	"Thinning"	"NoThin"	"B7"	90.00	3.27	0.05	1.65
2004.00	"Thinning"	"NoThin"	"B8"	91.00	3.86	0.13	3.55
2004.00	"Thinning"	"NoThin"	"B9"	92.00	3.43	0.12	3.75
2004.00	"Thinning"	"NoThin"	"HD1"	3.00	2.74	0.03	1.43
2004.00	"Thinning"	"NoThin"	"HD2"	4.00	3.36	0.01	0.45
2004.00	"Thinning"	"NoThin"	"HD3"	5.00	3.46	0.09	2.61
2005.00	"1970"	"NoThin"	"1970"	23.00	4.40	0.34	7.77
2005.00	"1990"	"NoThin"	"13A"	22.00	3.41		
2005.00	"1990"	"NoThin"	"1D"	21.00	7.13		
2005.00	"1990"	"NoThin"	"2-18AAA"	18.00	4.68		
2005.00	"1990"	"NoThin"	"3-12B"	19.00	5.55		
2005.00	"1990"	"NoThin"	"4-7F"	20.00	6.53		
2005.00	"1990"	"NoThin"	"Orig 1"	17.00	3.96		
2005.00	"Nutting Preserve"	"NoThin"	"Nutting"	33.00	3.62	0.16	4.42
2005.00	"Spacing"	"PCT"	"2x2"	6.00	5.89	1.12	19.05
2005.00	"Spacing"	"PCT"	"2x2 New"	7.00	5.44	0.18	3.45
2005.00	"Spacing"	"PCT"	"3x3"	8.00	6.08	0.23	3.78
2005.00	"Thinning"	"B"	"A8"	100.00	3.07	0.35	11.37
2005.00	"Thinning"	"B"	"C2"	103.00	3.27	0.35	10.70
2005.00	"Thinning"	"LD"	"C1"	102.00	3.40	0.32	9.42
2005.00	"Thinning"	"LD"	"C7"	108.00	2.77	0.09	3.35
2005.00	"Thinning"	"NoThin"	"B2"	85.00	4.45	0.12	2.77
2005.00	"Thinning"	"NoThin"	"B3"	86.00	3.52	0.33	9.65
2005.00	"Thinning"	"NoThin"	"B4"	87.00	4.13	0.12	2.93
2005.00	"Thinning"	"NoThin"	"B7"	90.00	3.95	0.07	1.86
2005.00	"Thinning"	"NoThin"	"B8"	91.00	4.17	0.14	3.39
2005.00	"Thinning"	"NoThin"	"B9"	92.00	3.84	0.28	7.47
2005.00	"Thinning"	"NoThin"	"HD1"	3.00	3.14	0.16	5.13
2005.00	"Thinning"	"NoThin"	"HD2"	4.00	4.03	0.30	7.64
2005.00	"Thinning"	"NoThin"	"HD3"	5.00	4.29	0.21	4.93
2006.00	"1970"	"NoThin"	"1970"	23.00	4.24	0.51	12.17
2006.00	"1990"	"NoThin"	"1D"	21.00	7.17		
2006.00	"1990"	"NoThin"	"2-18AAA"	18.00	4.08		
2006.00	"1990"	"NoThin"	"3-12B"	19.00	5.79		
2006.00	"1990"	"NoThin"	"4-7F"	20.00	6.06		
2006.00	"1990"	"NoThin"	"Orig 1"	17.00	4.10		
2006.00	"Nutting Preserve"	"NoThin"	"Nutting"	33.00	3.91	0.65	16.68
2006.00	"Spacing"	"PCT"	"2x2"	6.00	5.72	0.66	11.67
2006.00	"Spacing"	"PCT"	"2x2 New"	7.00	5.58	0.31	5.72
2006.00	"Spacing"	"PCT"	"3x3"	8.00	6.57	0.28	4.29
2006.00	"Thinning"	"B"	"A8"	100.00	3.52	0.18	5.26
2006.00	"Thinning"	"B"	"C2"	103.00	3.13	0.37	11.97
2006.00	"Thinning"	"LD"	"C1"	102.00	3.47	0.46	13.28
2006.00	"Thinning"	"LD"	"C7"	108.00	2.19	0.29	13.55
2006.00	"Thinning"	"NoThin"	"B2"	85.00	4.26	0.10	2.47
2006.00	"Thinning"	"NoThin"	"B3"	86.00	3.75	0.40	10.91
2006.00	"Thinning"	"NoThin"	"B4"	87.00	4.73	0.23	4.92
2006.00	"Thinning"	"NoThin"	"B7"	90.00	4.44	0.15	3.60
2006.00	"Thinning"	"NoThin"	"B8"	91.00	4.46	0.26	5.99
2006.00	"Thinning"	"NoThin"	"B9"	92.00	4.22	0.20	4.82
2006.00	"Thinning"	"NoThin"	"HD1"	3.00	3.51	0.18	5.16
2006.00	"Thinning"	"NoThin"	"HD2"	4.00	4.27	0.46	10.94
2006.00	"Thinning"	"NoThin"	"HD3"	5.00	4.40	0.52	11.88
2007.00	"1970"	"NoThin"	"1970"	23.00	4.59	0.74	16.24
2007.00	"1990"	"NoThin"	"13A"	22.00	3.79		
2007.00	"1990"	"NoThin"	"1D"	21.00	6.73		
2007.00	"1990"	"NoThin"	"2-18AAA"	18.00	4.30		
2007.00	"1990"	"NoThin"	"3-12B"	19.00	5.59		
2007.00	"1990"	"NoThin"	"4-7F"	20.00	7.06		
2007.00	"1990"	"NoThin"	"Orig 1"	17.00	3.76		
2007.00	"Nutting Preserve"	"NoThin"	"Nutting"	33.00	4.76	0.32	6.75
2007.00	"Spacing"	"PCT"	"2x2"	6.00	4.13	1.17	28.34
2007.00	"Spacing"	"PCT"	"2x2 New"	7.00	5.66	0.20	3.56
2007.00	"Spacing"	"PCT"	"3x3"	8.00	7.44	0.47	6.36
2007.00	"Thinning"	"B"	"A6"	98.00	2.41	0.25	10.73
2007.00	"Thinning"	"B"	"A7"	99.00	2.56	0.14	5.72
2007.00	"Thinning"	"B"	"A8"	100.00	3.85	0.15	4.12
2007.00	"Thinning"	"B"	"C2"	103.00	2.95	0.25	8.75
2007.00	"Thinning"	"LD"	"A9"	101.00	2.61	0.16	6.34
2007.00	"Thinning"	"LD"	"C1"	102.00	3.39	0.33	9.97
2007.00	"Thinning"	"LD"	"C3"	104.00	2.42	0.27	11.43
2007.00	"Thinning"	"LD"	"C7"	108.00	2.31	0.27	11.83
2007.00	"Thinning"	"NoThin"	"B2"	85.00	4.13	0.10	2.56
2007.00	"Thinning"	"NoThin"	"B3"	86.00	3.53	0.40	11.55
2007.00	"Thinning"	"NoThin"	"B4"	87.00	3.95	0.28	7.11
2007.00	"Thinning"	"NoThin"	"B7"	90.00	3.76	0.09	2.48
2007.00	"Thinning"	"NoThin"	"B8"	91.00	4.10	0.33	8.23
2007.00	"Thinning"	"NoThin"	"B9"	92.00	3.86	0.17	4.42
2007.00	"Thinning"	"NoThin"	"HD1"	3.00	2.76		
2007.00	"Thinning"	"NoThin"	"HD2"	4.00	3.13	0.02	0.93
2007.00	"Thinning"	"NoThin"	"HD3"	5.00	3.28	0.22	6.94
2008.00	"1970"	"LD"	"LD"	27.00	0.44	0.02	5.76
2008.00	"1970"	"NoThin"	"1970"	23.00	3.41	0.12	3.75
2008.00	"1990"	"NoThin"	"13A"	22.00	4.25		
2008.00	"1990"	"NoThin"	"1D"	21.00	7.63		
2008.00	"1990"	"NoThin"	"2-18AAA"	18.00	5.18		
2008.00	"1990"	"NoThin"	"3-12B"	19.00	5.90		
2008.00	"1990"	"NoThin"	"4-7F"	20.00	7.50		
2008.00	"1990"	"NoThin"	"Orig 1"	17.00	5.00		
2008.00	"Nutting Preserve"	"NoThin"	"Nutting"	33.00	4.66	0.43	9.24
2008.00	"Spacing"	"PCT"	"2x2"	6.00	5.62	0.02	0.48
2008.00	"Spacing"	"PCT"	"2x2 New"	7.00	4.81	0.10	2.19
2008.00	"Spacing"	"PCT"	"3x3"	8.00	5.86	0.20	3.52
2008.00	"Thinning"	"B"	"A6"	98.00	3.11	0.45	14.55
2008.00	"Thinning"	"B"	"A7"	99.00	3.18	0.14	4.49
2008.00	"Thinning"	"B"	"A8"	100.00	3.47	0.15	4.49
2008.00	"Thinning"	"B"	"C2"	103.00	2.85	0.26	9.30
2008.00	"Thinning"	"LD"	"A9"	101.00	2.93	0.11	3.83
2008.00	"Thinning"	"LD"	"C1"	102.00	3.24	0.41	12.87
2008.00	"Thinning"	"LD"	"C3"	104.00	2.81	0.38	13.83
2008.00	"Thinning"	"LD"	"C7"	108.00	2.20	0.30	13.87
2008.00	"Thinning"	"NoThin"	"B2"	85.00	3.69	0.11	3.18
2008.00	"Thinning"	"NoThin"	"B3"	86.00	3.41	0.34	10.04
2008.00	"Thinning"	"NoThin"	"B4"	87.00	3.76	0.40	10.77
2008.00	"Thinning"	"NoThin"	"B7"	90.00	3.43	0.08	2.58
2008.00	"Thinning"	"NoThin"	"B8"	91.00	3.88	0.29	7.54
2008.00	"Thinning"	"NoThin"	"B9"	92.00	3.62	0.21	5.98
2008.00	"Thinning"	"NoThin"	"HD1"	3.00	3.03	0.06	2.31
2008.00	"Thinning"	"NoThin"	"HD2"	4.00	3.53	0.22	6.38
2008.00	"Thinning"	"NoThin"	"HD3"	5.00	4.05	0.77	19.12
2009.00	"1970"	"LD"	"LD"	27.00	0.79	0.03	4.23
2009.00	"1970"	"NoThin"	"1970"	23.00	4.97	0.14	2.89
2009.00	"1990"	"NoThin"	"13A"	22.00	4.47		
2009.00	"1990"	"NoThin"	"1D"	21.00	6.57		
2009.00	"1990"	"NoThin"	"2-18AAA"	18.00	5.85		
2009.00	"1990"	"NoThin"	"3-12B"	19.00	6.34		
2009.00	"1990"	"NoThin"	"4-7F"	20.00	6.83		
2009.00	"1990"	"NoThin"	"Orig 1"	17.00	5.06		
2009.00	"Nutting Preserve"	"NoThin"	"Nutting"	33.00	5.02	0.15	3.12
2009.00	"Spacing"	"PCT"	"2x2"	6.00	6.10	0.72	11.91
2009.00	"Spacing"	"PCT"	"2x2 New"	7.00	5.91	0.16	2.83
2009.00	"Spacing"	"PCT"	"3x3"	8.00	7.02	0.29	4.15
2009.00	"Thinning"	"B"	"A6"	98.00	2.89	0.38	13.37
2009.00	"Thinning"	"B"	"A7"	99.00	3.14	0.19	6.13
2009.00	"Thinning"	"B"	"A8"	100.00	4.12	0.26	6.43
2009.00	"Thinning"	"B"	"C2"	103.00	2.77	0.22	8.22
2009.00	"Thinning"	"LD"	"A9"	101.00	2.98	0.18	6.21
2009.00	"Thinning"	"LD"	"C1"	102.00	3.09	0.42	13.80
2009.00	"Thinning"	"LD"	"C3"	104.00	2.66	0.37	13.95
2009.00	"Thinning"	"LD"	"C7"	108.00	2.78	0.42	15.28
2009.00	"Thinning"	"NoThin"	"B2"	85.00	3.90	0.17	4.54
2009.00	"Thinning"	"NoThin"	"B3"	86.00	3.45	0.35	10.14
2009.00	"Thinning"	"NoThin"	"B4"	87.00	3.90	0.41	10.56
2009.00	"Thinning"	"NoThin"	"B7"	90.00	3.63	0.19	5.39
2009.00	"Thinning"	"NoThin"	"B8"	91.00	4.07	0.28	6.89
2009.00	"Thinning"	"NoThin"	"B9"	92.00	3.47	0.17	4.90
2009.00	"Thinning"	"NoThin"	"HD1"	3.00	2.87	0.19	6.90
2009.00	"Thinning"	"NoThin"	"HD2"	4.00	3.43	0.02	0.62
2009.00	"Thinning"	"NoThin"	"HD3"	5.00	3.24	0.53	16.39
2010.00	"1970"	"LD"	"LD"	27.00	1.35	0.08	6.58
2010.00	"1970"	"NoThin"	"1970"	23.00	4.33	0.23	5.43
2010.00	"1990"	"NoThin"	"13A"	22.00	4.31		
2010.00	"1990"	"NoThin"	"1D"	21.00	6.30		
2010.00	"1990"	"NoThin"	"2-18AAA"	18.00	5.48		
2010.00	"1990"	"NoThin"	"3-12B"	19.00	5.18		
2010.00	"1990"	"NoThin"	"4-7F"	20.00	7.00		
2010.00	"1990"	"NoThin"	"Orig 1"	17.00	4.18		
2010.00	"Mature Monoculture"	"NoThin"	"MM"	9.00	3.66	0.15	4.26
2010.00	"Nutting Preserve"	"NoThin"	"Nutting"	33.00	3.95	0.14	3.59
2010.00	"Spacing"	"PCT"	"2x2"	6.00	6.43	0.18	2.81
2010.00	"Spacing"	"PCT"	"2x2 New"	7.00	5.91	0.10	1.72
2010.00	"Spacing"	"PCT"	"3x3"	8.00	7.11	0.20	2.88
2010.00	"Thinning"	"B"	"A6"	98.00	2.76	0.26	9.41
2010.00	"Thinning"	"B"	"A7"	99.00	2.71	0.19	7.05
2010.00	"Thinning"	"B"	"A8"	100.00	3.05	0.18	5.94
2010.00	"Thinning"	"B"	"C2"	103.00	2.39	0.22	9.30
2010.00	"Thinning"	"LD"	"A9"	101.00	2.74	0.17	6.37
2010.00	"Thinning"	"LD"	"C1"	102.00	2.52	0.18	7.46
2010.00	"Thinning"	"LD"	"C3"	104.00	2.44	0.28	11.64
